#{"t_start": 1743785438.5142946, "env_id": "milliAmpere1ROS_env/MilliAmpere1ROS-v4"}
r,l,t
-106.391669,238,59.981977
-115.084876,113,88.231135
-113.847536,154,126.730152
-107.024933,145,162.981631
-139.307931,446,274.481323
-131.600904,297,348.731489
-129.681373,288,420.732533
-112.464409,339,505.482399
-178.045387,796,705.235278
-144.501281,654,868.734291
-115.450128,170,911.23562
-135.816106,571,1054.723232
-148.519457,521,1184.988292
-121.071778,328,1266.989511
-110.807778,116,1295.989582
-103.709218,39,1305.738228
-114.113147,229,1362.990474
-110.446119,128,1394.991083
-120.758092,715,1574.486702
-111.372961,193,1622.742901
-33.005388,1001,1872.995037
-18.981038,1001,2123.996175
-143.336498,902,2349.499275
-105.644564,262,2414.998852
-25.789036,1001,2666.000519
-129.228492,524,2797.00161
-86.83057,527,2928.750707
-147.233255,820,3134.50263
-60.429288,1001,3384.757941
-131.005489,770,3577.256319
-152.404217,797,3777.257443
-121.090333,500,3902.259036
-123.712892,963,4143.754507
-104.91261,101,4169.011092
-60.146261,1001,4419.264094
-108.752461,233,4477.511604
-119.967057,451,4590.2623
7.855651,1001,4841.265532
-1.080088,1001,5091.515105
-47.893909,1001,5342.516486
-30.209735,1001,5592.769747
-28.073332,1001,5843.769587
-46.388905,1001,6094.02329
-135.159837,501,6220.023449
-128.173742,729,6402.274498
-57.338704,1001,6652.525408
-135.517063,423,6759.0265
-49.34762,1001,7009.278425
-70.539854,1001,7260.279635
-22.795099,1001,7510.530517
-44.044428,1001,7761.532369
-20.09053,1001,8011.784244
-43.523169,1001,8262.785319
-78.07887,1001,8513.036759
33.7119,1001,8764.027237
-42.228575,1001,9014.289907
-46.405281,1001,9265.267775
-29.364429,1001,9515.543164
11.281931,1001,9766.565267
-117.311689,209,9818.795652
-31.845654,1001,10069.049127
-151.943884,972,10312.799666
-3.657602,1001,10563.052396
-126.148125,468,10680.053018
11.409053,1001,10931.054879
-41.12251,1001,11181.305601
-62.321992,1001,11432.307852
-50.993878,1001,11682.558391
-15.447262,1001,11933.561521
16.969757,1001,12183.811435
27.25601,1001,12434.813936
25.75829,1001,12685.065993
-25.13998,1001,12936.066049
58.065621,1001,13186.320773
6.696892,1001,13437.321438
71.420459,1001,13687.571137
9.763252,1001,13938.57241
28.766844,1001,14188.824244
81.922115,1001,14439.826412
68.831103,1001,14690.077686
57.971088,1001,14941.076718
91.702564,1001,15191.331409
73.049951,1001,15442.33299
133.014572,1001,15692.583576
171.408712,1001,15943.554565
144.242344,1001,16193.840458
126.431529,1001,16444.802725
185.720043,1001,16695.091647
144.321238,1001,16946.067228
185.22006,1001,17196.345141
157.056787,1001,17448.145153
237.915878,1001,17698.535051
212.644341,1001,17949.601151
272.596867,1001,18199.851313
187.370716,1001,18450.104144
267.250655,1001,18701.105394
281.298224,1001,18951.359035
324.189032,1001,19202.360936
236.897356,1001,19452.608751
266.4369,1001,19703.61
364.331298,1001,19953.861415
257.299393,1001,20204.862962
261.015932,1001,20455.115299
380.128174,1001,20706.116174
335.296525,1001,20956.367534
340.268521,1001,21207.370317
414.554692,1001,21457.619717
412.355001,1001,21708.620915
415.64062,1001,21958.873365
314.204672,1001,22209.874211
390.890647,1001,22460.127271
429.96286,1001,22711.129201
406.490236,1001,22961.382826
455.783569,1001,23212.383991
487.419053,1001,23462.63653
539.691779,1001,23713.637203
497.196805,1001,23963.88864
478.671295,1001,24214.893193
520.149024,1001,24465.145928
510.99299,1001,24716.145708
557.630366,1001,24966.397648
525.1286,1001,25217.400698
565.415061,1001,25467.650849
551.370025,1001,25718.65114
608.798092,1001,25968.903372
616.633654,1001,26219.907313
647.109745,1001,26470.157883
634.369586,1001,26721.158754
672.742302,1001,26971.410151
669.88134,1001,27222.382419
627.766692,1001,27472.663471
670.585002,1001,27723.628811
684.871846,1001,27973.915532
645.467369,1001,28224.879233
683.847698,1001,28475.169653
631.275015,1001,28726.127359
688.979724,1001,28976.422335
667.484115,1001,29226.673236
752.908922,1001,29477.67494
713.785333,1001,29727.927906
699.528183,1001,29978.928364
723.540946,1001,30229.186051
677.164348,1001,30480.182475
717.112913,1001,30730.434182
710.781504,1001,30981.438639
721.610458,1001,31231.688238
758.715019,1001,31482.688432
750.900688,1001,31732.941654
747.93014,1001,31983.943127
759.92753,1001,32234.194835
735.971726,1001,32485.196467
755.432687,1001,32735.447627
751.706518,1001,32986.450295
740.919483,1001,33236.701683
755.104832,1001,33487.705759
788.91818,1001,33737.95564
773.473987,1001,33988.956045
755.756971,1001,34239.212211
787.925638,1001,34490.21048
767.907076,1001,34740.462766
794.089863,1001,34991.463597
788.098162,1001,35241.713544
802.126188,1001,35492.71563
752.057911,1001,35742.966695
783.524575,1001,35993.968079
777.679279,1001,36244.220734
796.550276,1001,36495.222648
792.494551,1001,36745.473901
808.724572,1001,36996.476068
780.734667,1001,37246.728261
817.925637,1001,37497.723522
803.895642,1001,37747.980767
825.490388,1001,37998.979065
802.26028,1001,38249.23463
827.056987,1001,38500.211584
819.90882,1001,38750.488953
809.666074,1001,39001.448881
814.31707,1001,39251.741534
823.863061,1001,39502.717187
823.998414,1001,39752.995017
832.57677,1001,40003.933952
819.099108,1001,40254.247542
809.384417,1001,40504.499494
845.07427,1001,40755.501002
810.963135,1001,41005.75108
854.315872,1001,41256.75249
825.441825,1001,41507.00437
824.829908,1001,41758.0054
861.202121,1001,42008.25853
826.309219,1001,42259.260414
805.355239,1001,42509.512094
842.427207,1001,42760.513038
840.602169,1001,43010.763185
852.147028,1001,43261.766205
852.688636,1001,43512.017354
847.602353,1001,43763.020931
842.33407,1001,44013.271358
831.005894,1001,44264.274747
835.782556,1001,44514.524791
826.153036,1001,44765.527103
855.491719,1001,45015.777913
845.121195,1001,45266.78059
860.592574,1001,45517.031307
847.915837,1001,45768.035401
852.65624,1001,46018.285864
852.937469,1001,46269.28719
847.78304,1001,46519.53903
878.921611,1001,46770.541595
862.736299,1001,47020.792097
836.599122,1001,47271.792488
