x,y,psi,u,v,r,n1x,n1y,n2x,n2y,n3x,n3y,n4x,n4y
0.014496,-0.007589,0.002501,0.000761,0.000449,0.000324,0.000000,0.000000,0.000000,0.000000,0.000000,-0.073047,0.000000,0.072637
0.014358,-0.007675,0.002387,0.000744,0.000444,0.000326,0.000000,0.000000,0.000000,0.000000,0.000000,-0.072862,0.000000,0.072449
0.014237,-0.007751,0.002285,0.000734,0.000443,0.000331,0.000000,0.000000,0.000000,0.000000,0.000000,-0.072390,0.000000,0.072276
0.014109,-0.007832,0.002174,0.000707,0.000434,0.000327,0.000000,0.000000,0.000000,0.000000,0.000000,-0.072096,0.000000,0.072029
0.013994,-0.007907,0.002072,0.000693,0.000432,0.000327,0.000000,0.000000,0.000000,0.000000,0.000000,-0.071792,0.000000,0.071849
0.013867,-0.007990,0.001958,0.000677,0.000430,0.000324,0.000000,0.000000,0.000000,0.000000,0.000000,-0.071515,0.000000,0.071612
0.013757,-0.008064,0.001857,0.000663,0.000430,0.000321,0.000000,0.000000,0.000000,0.000000,0.000000,-0.071225,0.000000,0.071333
0.013640,-0.008144,0.001749,0.000648,0.000430,0.000318,0.000000,0.000000,0.000000,0.000000,0.000000,-0.070990,0.000000,0.071053
0.013535,-0.008218,0.001651,0.000632,0.000429,0.000313,0.000000,0.000000,0.000000,0.000000,0.000000,-0.070724,0.000000,0.070763
0.013419,-0.008300,0.001542,0.000617,0.000428,0.000309,0.000000,0.000000,0.000000,0.000000,0.000000,-0.070521,0.000000,0.070489
0.013318,-0.008373,0.001447,0.000604,0.000428,0.000306,0.000000,0.000000,0.000000,0.000000,0.000000,-0.070261,0.000000,0.070194
0.013212,-0.008453,0.001344,0.000590,0.000428,0.000301,0.000000,0.000000,0.000000,0.000000,0.000000,-0.070065,0.000000,0.069906
0.013115,-0.008526,0.001251,0.000578,0.000429,0.000298,0.000000,0.000000,0.000000,0.000000,0.000000,-0.069832,0.000000,0.069617
0.013010,-0.008607,0.001148,0.000562,0.000426,0.000293,0.000000,0.000000,0.000000,0.000000,0.000000,-0.069645,0.000000,0.069321
0.012918,-0.008680,0.001056,0.000550,0.000425,0.000292,0.000000,0.000000,0.000000,0.000000,0.000000,-0.069425,0.000000,0.069035
0.012820,-0.008758,0.000958,0.000537,0.000423,0.000290,0.000000,0.000000,0.000000,0.000000,0.000000,-0.069207,0.000000,0.068787
0.012732,-0.008830,0.000868,0.000526,0.000423,0.000288,0.000000,0.000000,0.000000,0.000000,0.000000,-0.068988,0.000000,0.068523
0.012636,-0.008911,0.000768,0.000514,0.000422,0.000285,0.000000,0.000000,0.000000,0.000000,0.000000,-0.068802,0.000000,0.068259
0.012552,-0.008982,0.000680,0.000503,0.000420,0.000284,0.000000,0.000000,0.000000,0.000000,0.000000,-0.068578,0.000000,0.067979
0.012463,-0.009059,0.000584,0.000490,0.000415,0.000284,0.000000,0.000000,0.000000,0.000000,0.000000,-0.068365,0.000000,0.067752
0.012382,-0.009129,0.000494,0.000480,0.000412,0.000286,0.000000,0.000000,0.000000,0.000000,0.000000,-0.068111,0.000000,0.067557
0.012303,-0.009199,0.000405,0.000467,0.000408,0.000284,0.000000,0.000000,0.000000,0.000000,0.000000,-0.067891,0.000000,0.067362
0.012217,-0.009277,0.000306,0.000457,0.000406,0.000284,0.000000,0.000000,0.000000,0.000000,0.000000,-0.067705,0.000000,0.067169
0.012142,-0.009345,0.000217,0.000447,0.000403,0.000284,0.000000,0.000000,0.000000,0.000000,0.000000,-0.067471,0.000000,0.066933
0.012062,-0.009419,0.000121,0.000436,0.000399,0.000285,0.000000,0.000000,0.000000,0.000000,0.000000,-0.067258,0.000000,0.066742
0.011990,-0.009487,0.000031,0.000427,0.000395,0.000286,0.000000,0.000000,0.000000,0.000000,0.000000,-0.066996,0.000000,0.066583
0.011910,-0.009562,-0.000069,0.000416,0.000392,0.000286,0.000000,0.000000,0.000000,0.000000,0.000000,-0.066784,0.000000,0.066416
0.011841,-0.009628,-0.000158,0.000408,0.000391,0.000286,0.000000,0.000000,0.000000,0.000000,0.000000,-0.066552,0.000000,0.066228
0.011768,-0.009700,-0.000254,0.000399,0.000389,0.000285,0.000000,0.000000,0.000000,0.000000,0.000000,-0.066370,0.000000,0.066023
0.011702,-0.009766,-0.000343,0.000388,0.000385,0.000283,0.000000,0.000000,0.000000,0.000000,0.000000,-0.066163,0.000000,0.065815
0.011630,-0.009839,-0.000442,0.000381,0.000383,0.000284,0.000000,0.000000,0.000000,0.000000,0.000000,-0.065972,0.000000,0.065656
0.011569,-0.009901,-0.000527,0.000370,0.000379,0.000281,0.000000,0.000000,0.000000,0.000000,0.000000,-0.065723,0.000000,0.065476
0.011500,-0.009974,-0.000626,0.000362,0.000378,0.000281,0.000000,0.000000,0.000000,0.000000,0.000000,-0.065593,0.000000,0.065304
0.011439,-0.010038,-0.000713,0.000354,0.000377,0.000278,0.000000,0.000000,0.000000,0.000000,0.000000,-0.065366,0.000000,0.065107
0.011373,-0.010110,-0.000811,0.000346,0.000376,0.000277,0.000000,0.000000,0.000000,0.000000,0.000000,-0.065239,0.000000,0.064899
0.011315,-0.010174,-0.000897,0.000339,0.000373,0.000277,0.000000,0.000000,0.000000,0.000000,0.000000,-0.065008,0.000000,0.064707
0.011254,-0.010242,-0.000991,0.000331,0.000370,0.000278,0.000000,0.000000,0.000000,0.000000,0.000000,-0.064825,0.000000,0.064545
0.011198,-0.010305,-0.001078,0.000324,0.000368,0.000277,0.000000,0.000000,0.000000,0.000000,0.000000,-0.064603,0.000000,0.064401
0.011137,-0.010374,-0.001174,0.000316,0.000366,0.000275,0.000000,0.000000,0.000000,0.000000,0.000000,-0.064451,0.000000,0.064229
0.011084,-0.010437,-0.001260,0.000309,0.000365,0.000273,0.000000,0.000000,0.000000,0.000000,0.000000,-0.064256,0.000000,0.064051
0.011028,-0.010504,-0.001352,0.000303,0.000365,0.000272,0.000000,0.000000,0.000000,0.000000,0.000000,-0.064124,0.000000,0.063862
0.010977,-0.010565,-0.001437,0.000295,0.000362,0.000270,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063942,0.000000,0.063670
0.010921,-0.010634,-0.001531,0.000288,0.000359,0.000270,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063779,0.000000,0.063518
0.010873,-0.010694,-0.001616,0.000282,0.000357,0.000269,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063573,0.000000,0.063365
0.010821,-0.010760,-0.001706,0.000276,0.000356,0.000268,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063439,0.000000,0.063197
0.010774,-0.010820,-0.001789,0.000269,0.000355,0.000265,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063267,0.000000,0.063025
0.010723,-0.010888,-0.001881,0.000263,0.000354,0.000263,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063150,0.000000,0.062844
0.010679,-0.010947,-0.001963,0.000257,0.000353,0.000261,0.000000,0.000000,0.000000,0.000000,0.000000,-0.062990,0.000000,0.062651
0.010635,-0.011007,-0.002045,0.000251,0.000350,0.000261,0.000000,0.000000,0.000000,0.000000,0.000000,-0.062857,0.000000,0.062478
0.010589,-0.011071,-0.002133,0.000245,0.000347,0.000261,0.000000,0.000000,0.000000,0.000000,0.000000,-0.062675,0.000000,0.062352
0.010547,-0.011130,-0.002214,0.000240,0.000345,0.000260,0.000000,0.000000,0.000000,0.000000,0.000000,-0.062506,0.000000,0.062215
0.010501,-0.011195,-0.002305,0.000235,0.000344,0.000259,0.000000,0.000000,0.000000,0.000000,0.000000,-0.062366,0.000000,0.062068
