x,y,psi,u,v,r,n1x,n1y,n2x,n2y,n3x,n3y,n4x,n4y
0.013704,-0.008231,0.001580,0.000045,-0.000774,-0.000569,0.000000,0.004641,0.000000,0.000000,0.000000,-0.076596,0.000000,0.077499
0.013703,-0.008168,0.001665,0.000044,-0.000770,-0.000565,0.000000,0.005078,0.000000,0.000000,0.000000,-0.076687,0.000000,0.077625
0.013701,-0.008089,0.001770,0.000043,-0.000766,-0.000560,0.000000,0.005499,0.000000,0.000000,0.000000,-0.076802,0.000000,0.077738
0.013700,-0.008021,0.001860,0.000042,-0.000760,-0.000554,0.000000,0.005930,0.000000,0.000000,0.000000,-0.076877,0.000000,0.077851
0.013699,-0.007959,0.001943,0.000042,-0.000754,-0.000548,0.000000,0.006538,0.000000,0.000000,0.000000,-0.076941,0.000000,0.078013
0.013698,-0.007892,0.002031,0.000042,-0.000748,-0.000542,0.000000,0.006971,0.000000,0.000000,0.000000,-0.077008,0.000000,0.078130
0.013696,-0.007831,0.002111,0.000042,-0.000741,-0.000536,0.000000,0.007284,0.000000,0.000000,0.000000,-0.077116,0.000000,0.078213
0.013695,-0.007755,0.002210,0.000041,-0.000733,-0.000528,0.000000,0.007717,0.000000,0.000000,0.000000,-0.077186,0.000000,0.078328
0.013693,-0.007691,0.002295,0.000041,-0.000725,-0.000520,0.000000,0.008080,0.000000,0.000000,0.000000,-0.077196,0.000000,0.078448
0.013692,-0.007632,0.002372,0.000041,-0.000715,-0.000512,0.000000,0.008535,0.000000,0.000000,0.000000,-0.077252,0.000000,0.078576
0.013691,-0.007569,0.002454,0.000041,-0.000707,-0.000504,0.000000,0.008935,0.000000,0.000000,0.000000,-0.077325,0.000000,0.078668
0.013689,-0.007497,0.002547,0.000040,-0.000695,-0.000494,0.000000,0.009186,0.000000,0.000000,0.000000,-0.077391,0.000000,0.078738
0.013687,-0.007441,0.002619,0.000040,-0.000685,-0.000484,0.000000,0.009516,0.000000,0.000000,0.000000,-0.077430,0.000000,0.078841
0.013686,-0.007381,0.002696,0.000040,-0.000675,-0.000474,0.000000,0.009907,0.000000,0.000000,0.000000,-0.077429,0.000000,0.078963
0.013685,-0.007326,0.002766,0.000039,-0.000664,-0.000463,0.000000,0.010144,0.000000,0.000000,0.000000,-0.077451,0.000000,0.079046
0.013683,-0.007259,0.002851,0.000039,-0.000652,-0.000452,0.000000,0.010414,0.000000,0.000000,0.000000,-0.077505,0.000000,0.079124
0.013681,-0.007202,0.002922,0.000039,-0.000639,-0.000439,0.000000,0.010635,0.000000,0.000000,0.000000,-0.077501,0.000000,0.079209
0.013679,-0.007151,0.002986,0.000038,-0.000626,-0.000426,0.000000,0.010936,0.000000,0.000000,0.000000,-0.077474,0.000000,0.079336
