x,y,phi,u,v,r,n1,n2,n3,n4,alpha1,alpha2,alpha3,alpha4
-0.443778,-0.121294,0.934416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.443778,-0.121293,0.934416,-0.000000,-0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.443782,-0.121282,0.934407,0.000003,0.000002,0.000050,0.277089,-1.000000,-1.000000,0.437959,-1.000000,-1.000000,-0.879166,0.431687
-0.443797,-0.121216,0.934355,-0.000049,0.000081,0.000322,0.277087,-1.000000,-1.000000,0.437957,-1.000000,-1.000000,-0.879166,0.431687
-0.443811,-0.120905,0.934100,-0.000925,0.000497,0.001475,0.138516,-1.000000,-1.000000,0.175913,-1.000000,-1.000000,0.611269,0.001060
-0.443801,-0.119916,0.933307,-0.003687,0.001383,0.004954,0.137424,-1.000000,-1.000000,0.173933,-1.000000,-1.000000,0.611944,0.000753
-0.443799,-0.117172,0.931159,-0.008802,0.002793,0.012392,0.257171,-1.000000,-1.000000,0.159140,-1.000000,-0.916065,0.282981,-0.033514
-0.443885,-0.112058,0.927220,-0.015827,0.004593,0.024610,0.252021,-1.000000,-1.000000,0.158130,-1.000000,-0.910507,0.289961,-0.041333
-0.444144,-0.102554,0.919988,-0.023883,0.006710,0.041748,0.190280,-1.000000,-1.000000,0.115774,-1.000000,-0.929449,0.349850,0.007481
-0.444486,-0.089253,0.909951,-0.031783,0.008952,0.062717,0.157192,-0.983360,-1.000000,0.071222,-1.000000,-0.906910,0.375365,-0.011297
-0.444689,-0.069326,0.895010,-0.038414,0.011291,0.086210,0.117560,-0.913244,-1.000000,-0.007194,-1.000000,-0.873882,0.415394,-0.075493
-0.444235,-0.045690,0.877355,-0.043008,0.013354,0.110315,0.039083,-0.830407,-1.000000,-0.142605,-1.000000,-0.826565,0.453711,-0.107669
-0.442290,-0.014669,0.854184,-0.044982,0.015497,0.133746,-0.071767,-0.742937,-1.000000,-0.332243,-1.000000,-0.751287,0.465507,-0.116608
-0.438365,0.018456,0.829320,-0.044285,0.017041,0.155354,-0.198959,-0.654862,-1.000000,-0.558918,-0.992664,-0.679780,0.478023,-0.145433
-0.430865,0.058483,0.798936,-0.041153,0.018353,0.175278,-0.345036,-0.573805,-1.000000,-0.826585,-0.897737,-0.619788,0.496558,-0.186339
-0.420010,0.098527,0.767921,-0.037178,0.018984,0.193897,-0.496625,-0.488344,-1.000000,-1.000000,-0.793747,-0.553701,0.506004,-0.222475
-0.402920,0.144132,0.731414,-0.033570,0.019914,0.210592,-0.655067,-0.385133,-1.000000,-1.000000,-0.665205,-0.483590,0.484064,-0.256485
-0.381441,0.186878,0.695458,-0.031735,0.020865,0.224760,-0.811191,-0.270956,-1.000000,-1.000000,-0.543236,-0.419875,0.473421,-0.271593
-0.351607,0.232028,0.654667,-0.031009,0.022696,0.235288,-0.969191,-0.177232,-1.000000,-1.000000,-0.451834,-0.355824,0.511489,-0.259428
-0.318172,0.270969,0.615857,-0.031017,0.024985,0.242499,-1.000000,-0.088855,-1.000000,-1.000000,-0.340455,-0.289519,0.535152,-0.253062
-0.276167,0.308568,0.573056,-0.030832,0.028653,0.246841,-1.000000,-0.021589,-0.541340,-1.000000,-0.187005,-0.222007,0.556906,-0.277854
-0.232774,0.337913,0.533132,-0.031255,0.033122,0.249815,-1.000000,0.046006,0.024637,-1.000000,-0.053568,-0.149792,0.492357,-0.266963
-0.181765,0.362817,0.489736,-0.032121,0.039504,0.250257,-1.000000,0.170032,0.460828,-1.000000,0.207718,-0.082949,0.418423,-0.340514
-0.132874,0.378278,0.450399,-0.033119,0.049750,0.245928,-1.000000,0.293447,0.814499,-1.000000,0.453158,-0.045119,0.369813,-0.419048
-0.080481,0.386363,0.409572,-0.032021,0.063740,0.235375,-1.000000,0.414190,1.000000,-1.000000,0.643160,0.032645,0.208144,-0.411084
-0.034294,0.386387,0.373979,-0.030609,0.077917,0.222522,-0.882399,0.516981,1.000000,-1.000000,0.786952,0.096412,0.019713,-0.388258
0.012193,0.379518,0.337941,-0.028777,0.090933,0.208042,-0.772228,0.579957,1.000000,-1.000000,0.836717,0.056996,-0.114942,-0.352591
0.050918,0.368015,0.307359,-0.028220,0.102033,0.190862,-0.713392,0.656708,1.000000,-1.000000,0.810853,-0.002705,-0.269070,-0.274006
0.087338,0.351458,0.277748,-0.026986,0.112545,0.170938,-0.643425,0.731770,1.000000,-0.963811,0.801145,-0.024035,-0.341143,-0.250173
0.115042,0.333903,0.254337,-0.025188,0.121336,0.146394,-0.545812,0.743677,0.981120,-0.614186,0.770323,-0.072826,-0.358774,-0.250451
0.138140,0.314179,0.233896,-0.020964,0.128061,0.117927,-0.424769,0.768850,0.720085,-0.225314,0.752817,-0.111287,-0.447535,-0.216586
0.153328,0.296714,0.219769,-0.016483,0.131222,0.088258,-0.292647,0.722585,0.434563,0.175744,0.678606,-0.167958,-0.472432,-0.139884
0.164254,0.279577,0.209000,-0.010736,0.129490,0.062143,-0.176862,0.594459,0.079898,0.576136,0.471494,-0.278395,-0.492060,0.033560
0.170561,0.265653,0.202227,-0.004712,0.123396,0.042329,-0.049638,0.367718,-0.298696,0.949876,0.248617,-0.383797,-0.478825,0.145835
