x,y,phi,u,v,r,n1,n2,n3,n4,alpha1,alpha2,alpha3,alpha4
-0.150624,-0.354109,-0.791743,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.150782,-0.353886,-0.791922,-0.001168,-0.003928,0.002683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.151524,-0.352818,-0.792756,-0.002199,-0.007994,0.005212,-1.000000,1.000000,1.000000,-1.000000,1.000000,-0.143057,1.000000,-0.358040
-0.151925,-0.351836,-0.793270,-0.001857,-0.008102,0.002966,-1.000000,1.000000,1.000000,-1.000000,1.000000,-0.128988,1.000000,-0.357903
-0.150919,-0.352139,-0.792270,0.001201,-0.002055,-0.006246,-0.758847,1.000000,1.000000,-1.000000,1.000000,0.276943,0.142567,-0.358189
-0.147660,-0.354086,-0.788656,0.008223,0.002827,-0.020872,-0.751977,1.000000,1.000000,-1.000000,1.000000,0.268181,0.135231,-0.353744
-0.141356,-0.357915,-0.781674,0.017838,0.008040,-0.043630,-0.809407,1.000000,1.000000,-1.000000,1.000000,-0.045041,0.234932,-0.109852
-0.129181,-0.365090,-0.768556,0.029569,0.018183,-0.075673,-0.766945,1.000000,1.000000,-1.000000,1.000000,-0.084233,0.213284,-0.091719
-0.111084,-0.374212,-0.749888,0.041936,0.025913,-0.116623,-0.660825,1.000000,1.000000,-1.000000,1.000000,-0.044715,0.245704,-0.214024
-0.082246,-0.386244,-0.721571,0.053322,0.040075,-0.163531,-0.520795,1.000000,0.552946,-1.000000,1.000000,-0.139186,0.149713,-0.171296
-0.047020,-0.396723,-0.688484,0.062991,0.047948,-0.206690,-0.308911,1.000000,-0.337348,-0.654134,1.000000,-0.251803,-0.085079,-0.047256
-0.000553,-0.405462,-0.646639,0.065253,0.065882,-0.241266,-0.041134,1.000000,-1.000000,0.006120,0.905184,-0.459819,-0.294152,0.100055
0.047395,-0.406938,-0.604467,0.066944,0.059047,-0.263800,0.172461,1.000000,-1.000000,0.642536,0.539865,-0.785010,-0.402603,0.311756
0.102342,-0.399997,-0.556061,0.067549,0.054196,-0.279061,0.349765,0.826264,-1.000000,1.000000,0.224449,-0.903717,-0.431964,0.377877
0.153874,-0.385151,-0.509385,0.069216,0.052381,-0.291711,0.534622,0.423350,-1.000000,1.000000,0.034873,-0.862471,-0.309333,0.291802
0.209540,-0.359012,-0.456362,0.066698,0.051744,-0.306141,0.703584,0.095469,-1.000000,1.000000,-0.141911,-0.823555,-0.207681,0.238374
0.257964,-0.325498,-0.406190,0.063478,0.045576,-0.313621,0.858446,-0.137588,-1.000000,1.000000,-0.294500,-0.855380,-0.123119,0.191094
0.304539,-0.280705,-0.351487,0.058083,0.045211,-0.315436,1.000000,-0.381329,-1.000000,1.000000,-0.428044,-0.889142,-0.077646,0.160312
0.340440,-0.234468,-0.301558,0.050124,0.056937,-0.312053,1.000000,-0.594656,-1.000000,1.000000,-0.536589,-0.875690,-0.049656,0.160225
0.369871,-0.182546,-0.250136,0.042313,0.064731,-0.296759,1.000000,-0.746100,-1.000000,1.000000,-0.628745,-0.868622,0.004553,0.147419
0.387998,-0.135460,-0.206273,0.040986,0.064903,-0.274153,1.000000,-0.796393,-1.000000,1.000000,-0.660336,-0.902949,0.102778,0.082343
0.398401,-0.088179,-0.164333,0.044271,0.053460,-0.241860,1.000000,-0.822382,-1.000000,1.000000,-0.664057,-0.895580,0.161359,0.033329
0.400787,-0.049716,-0.130895,0.055519,0.045222,-0.209007,1.000000,-0.835233,-1.000000,1.000000,-0.657136,-0.828503,0.162784,0.027644
0.397322,-0.014966,-0.100166,0.070246,0.045195,-0.177294,1.000000,-0.894281,-1.000000,1.000000,-0.665868,-0.733401,0.169095,0.042714
0.390005,0.010756,-0.076656,0.087342,0.043299,-0.146914,0.988179,-0.924673,-1.000000,1.000000,-0.694077,-0.664554,0.184981,0.068400
0.378777,0.032477,-0.055737,0.106415,0.042526,-0.120745,0.831160,-0.886881,-1.000000,1.000000,-0.720511,-0.625843,0.231952,0.076036
0.366166,0.047249,-0.040300,0.126065,0.042287,-0.096466,0.633593,-0.829555,-1.000000,1.000000,-0.740829,-0.576472,0.285780,0.092073
0.350769,0.058801,-0.026985,0.143998,0.040877,-0.076837,0.432248,-0.782290,-1.000000,1.000000,-0.748107,-0.540213,0.378312,0.097368
0.335331,0.065558,-0.017704,0.161550,0.040980,-0.057986,0.210337,-0.715714,-1.000000,0.894906,-0.736301,-0.517348,0.489609,0.092990
0.317759,0.069478,-0.010835,0.176606,0.036248,-0.039604,0.006803,-0.662094,-0.956633,0.419828,-0.704150,-0.490578,0.590317,0.079489
0.301150,0.070317,-0.007907,0.190010,0.024780,-0.018305,-0.192328,-0.562459,-0.874083,-0.043125,-0.623475,-0.454432,0.672163,0.035333
0.283105,0.068616,-0.008701,0.200166,0.010435,0.004575,-0.364922,-0.425297,-0.862987,-0.522671,-0.455131,-0.410062,0.687644,-0.104819
0.266872,0.064890,-0.013030,0.204173,-0.001552,0.027073,-0.569521,-0.274464,-0.652488,-1.000000,-0.245544,-0.334703,0.659451,-0.223973
0.249928,0.059361,-0.020844,0.202739,-0.011435,0.045066,-0.799739,-0.081336,-0.280359,-1.000000,-0.076397,-0.225373,0.602005,-0.236609
0.234879,0.053959,-0.030562,0.199497,-0.026872,0.060787,-0.929553,0.170026,0.041157,-1.000000,0.154976,-0.137823,0.506008,-0.268637
0.219241,0.048636,-0.043356,0.193592,-0.045697,0.073813,-0.991071,0.288606,0.367149,-1.000000,0.361551,-0.131235,0.494697,-0.273352
0.205392,0.044485,-0.056171,0.185922,-0.056054,0.080034,-1.000000,0.318607,0.688302,-1.000000,0.500452,-0.074530,0.338511,-0.187794
