x,y,phi,u,v,r,n1,n2,n3,n4,alpha1,alpha2,alpha3,alpha4
0.401951,-0.334070,0.237739,0.000001,-0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.401915,-0.334087,0.237724,0.000226,-0.000021,0.000085,0.678151,0.811825,-1.000000,1.000000,0.429246,-0.825972,-0.031687,-0.473431
0.401630,-0.334223,0.237596,0.001791,-0.000301,0.000801,0.678142,0.811830,-1.000000,1.000000,0.429246,-0.825972,-0.031685,-0.473429
0.400567,-0.334767,0.237085,0.005773,-0.001112,0.002948,0.378226,0.433734,-0.626643,1.000000,-0.147833,-0.079543,-0.700813,0.242097
0.398500,-0.335825,0.236122,0.012530,-0.001815,0.006020,0.367497,0.438899,-0.621290,1.000000,-0.149416,-0.079242,-0.700860,0.245678
0.394729,-0.337663,0.234472,0.022272,-0.002447,0.009523,0.371065,0.450293,-0.533459,1.000000,-0.152576,-0.665806,-0.012372,-0.008306
0.389501,-0.340027,0.232284,0.034485,-0.004065,0.013675,0.320241,0.480007,-0.519400,1.000000,-0.156623,-0.670227,-0.001312,0.003804
0.381685,-0.343253,0.229127,0.048614,-0.006811,0.018211,0.318497,0.517268,-0.674301,1.000000,-0.003940,-0.327287,-0.170538,-0.018374
0.372422,-0.346702,0.225525,0.063724,-0.010100,0.022505,0.237233,0.551237,-0.682755,1.000000,-0.000668,-0.330953,-0.162606,0.000754
0.360734,-0.350292,0.221425,0.079061,-0.012950,0.023665,0.069104,0.633563,-0.566196,1.000000,-0.071933,-0.489856,-0.235724,0.114648
0.349524,-0.352519,0.218394,0.093557,-0.014202,0.018949,-0.045657,0.668064,-0.574025,1.000000,-0.076619,-0.512053,-0.206816,0.139693
0.337984,-0.353055,0.216702,0.106153,-0.014450,0.009755,-0.098795,0.641459,-0.742386,1.000000,-0.077294,-0.508408,-0.076826,0.108687
0.328357,-0.351715,0.216817,0.116113,-0.014506,-0.000715,-0.134842,0.582162,-0.974276,1.000000,-0.102305,-0.553403,-0.059368,0.121627
0.319330,-0.348436,0.218774,0.122973,-0.013777,-0.011301,-0.155986,0.472915,-1.000000,1.000000,-0.164764,-0.598845,-0.088202,0.147305
0.312296,-0.344091,0.222096,0.126737,-0.011824,-0.020748,-0.160875,0.343875,-1.000000,1.000000,-0.283226,-0.643430,-0.010647,0.142609
0.305408,-0.338758,0.226596,0.128765,-0.009720,-0.025950,-0.124906,0.226767,-1.000000,1.000000,-0.396016,-0.694880,0.127486,0.120295
0.298783,-0.334102,0.230656,0.130089,-0.008725,-0.025392,-0.072366,0.115897,-1.000000,1.000000,-0.472144,-0.713898,0.231726,0.094581
0.290279,-0.330138,0.233977,0.131504,-0.009103,-0.019148,-0.041988,0.045227,-1.000000,1.000000,-0.510871,-0.697351,0.267987,0.083337
0.280508,-0.327878,0.235416,0.134022,-0.011236,-0.008991,-0.058777,0.036351,-1.000000,1.000000,-0.533843,-0.678383,0.305064,0.076743
0.267282,-0.327090,0.234734,0.137678,-0.015261,0.003934,-0.125357,0.072596,-1.000000,0.940125,-0.545407,-0.668198,0.356840,0.074115
0.252259,-0.327811,0.231747,0.142023,-0.021092,0.018655,-0.224175,0.128341,-1.000000,0.723979,-0.525739,-0.644184,0.397824,0.073889
0.232614,-0.329852,0.225751,0.147645,-0.029157,0.034612,-0.345913,0.204950,-1.000000,0.451175,-0.466631,-0.604762,0.427568,0.060417
0.211044,-0.332470,0.217473,0.153743,-0.039515,0.051735,-0.487149,0.331626,-1.000000,0.117360,-0.357886,-0.565525,0.435994,0.016558
0.183707,-0.335388,0.205353,0.159640,-0.053571,0.069921,-0.659579,0.486203,-1.000000,-0.314561,-0.222448,-0.520980,0.427448,-0.022786
0.155512,-0.337180,0.191609,0.161313,-0.069364,0.085932,-0.840034,0.649224,-1.000000,-0.795406,-0.069731,-0.442550,0.363701,-0.030066
0.123533,-0.337082,0.174941,0.155102,-0.085426,0.096137,-0.999969,0.786043,-0.740887,-1.000000,0.098896,-0.335177,0.259399,-0.020867
0.094190,-0.334560,0.158806,0.144177,-0.099425,0.100884,-1.000000,0.857330,-0.444685,-1.000000,0.242529,-0.259310,0.150156,-0.006478
0.063847,-0.329025,0.141345,0.130246,-0.111989,0.100693,-1.000000,0.850953,-0.237399,-1.000000,0.366562,-0.270030,0.100257,0.004781
0.038137,-0.321486,0.125986,0.116282,-0.121870,0.096008,-1.000000,0.795020,-0.023342,-1.000000,0.426015,-0.283600,0.059621,0.033157
0.013873,-0.311155,0.111241,0.102628,-0.129201,0.085107,-1.000000,0.704112,0.208741,-1.000000,0.477619,-0.271656,0.094011,0.003134
-0.004379,-0.300199,0.100401,0.091043,-0.133870,0.067729,-0.989115,0.591218,0.350724,-1.000000,0.522736,-0.288610,0.167352,-0.071395
-0.019022,-0.287448,0.092649,0.080617,-0.138006,0.044736,-0.883155,0.468847,0.348894,-1.000000,0.574715,-0.313471,0.195099,-0.152203
-0.027517,-0.275392,0.089840,0.070933,-0.141352,0.017548,-0.739521,0.313883,0.195413,-1.000000,0.581909,-0.334051,0.199149,-0.209241
-0.031363,-0.262453,0.091892,0.061749,-0.144029,-0.011833,-0.578263,0.084380,-0.049933,-1.000000,0.483104,-0.374320,0.161484,-0.191018
-0.030439,-0.250914,0.098387,0.052829,-0.144339,-0.040595,-0.388341,-0.221777,-0.368395,-1.000000,0.297762,-0.456130,0.140302,-0.150361
-0.025674,-0.238981,0.109562,0.044644,-0.141219,-0.064490,-0.171379,-0.616248,-0.711943,-0.638950,0.034241,-0.585075,0.238317,-0.167354
-0.019149,-0.228487,0.122408,0.037338,-0.134881,-0.080254,0.052334,-0.992920,-1.000000,-0.205388,-0.256429,-0.673588,0.409907,-0.248191
-0.011238,-0.217480,0.137629,0.033340,-0.128218,-0.087866,0.206347,-1.000000,-1.000000,0.102106,-0.540095,-0.656810,0.693000,-0.312326
-0.004307,-0.207363,0.151662,0.031671,-0.123611,-0.087553,0.279369,-1.000000,-1.000000,0.264630,-0.698646,-0.594802,0.895709,-0.316462
0.001824,-0.196191,0.165636,0.032715,-0.122797,-0.080715,0.366129,-1.000000,-1.000000,0.445225,-0.670637,-0.519711,0.748576,-0.199689
0.005656,-0.185604,0.176536,0.034287,-0.123771,-0.068045,0.394342,-1.000000,-1.000000,0.545179,-0.597992,-0.497621,0.614879,-0.149846
0.007548,-0.173899,0.185537,0.036890,-0.126174,-0.051979,0.332460,-1.000000,-1.000000,0.465311,-0.686222,-0.569521,0.602800,-0.085358
0.007159,-0.162973,0.190934,0.039684,-0.128141,-0.033704,0.229770,-1.000000,-1.000000,0.277851,-0.750738,-0.584853,0.655391,-0.052508
0.004521,-0.151095,0.193422,0.043019,-0.129969,-0.014364,0.145178,-1.000000,-0.793877,0.072502,-0.715228,-0.507437,0.754953,-0.127139
0.000251,-0.140133,0.192480,0.045523,-0.130690,0.005892,0.046308,-1.000000,-0.546997,-0.171909,-0.610938,-0.435968,0.838168,-0.233818
-0.005961,-0.128340,0.187993,0.046577,-0.129536,0.025895,-0.068929,-1.000000,-0.276245,-0.495820,-0.451554,-0.364116,0.864252,-0.319785
-0.012640,-0.117626,0.180938,0.045630,-0.125486,0.044060,-0.195188,-0.976597,0.018606,-0.842830,-0.262648,-0.294749,0.895069,-0.409638
-0.020195,-0.106339,0.170690,0.041514,-0.118967,0.059156,-0.305027,-0.760614,0.280660,-1.000000,-0.060842,-0.266673,0.922573,-0.506412
-0.026829,-0.096367,0.159431,0.034362,-0.109435,0.070377,-0.377132,-0.496568,0.475456,-1.000000,0.154032,-0.250901,0.891976,-0.579460
-0.033106,-0.086216,0.146003,0.024577,-0.098141,0.077447,-0.430601,-0.277710,0.646406,-1.000000,0.342210,-0.172229,0.697010,-0.542866
-0.037781,-0.077592,0.133249,0.014856,-0.086061,0.079711,-0.458231,-0.082830,0.763566,-1.000000,0.486508,-0.087446,0.455253,-0.459768
-0.041509,-0.069217,0.120028,0.005912,-0.074033,0.076260,-0.460080,0.081308,0.839983,-1.000000,0.586468,-0.109003,0.285553,-0.401950
-0.043695,-0.062548,0.109209,-0.001696,-0.062160,0.067655,-0.443745,0.196991,0.825081,-1.000000,0.641064,-0.183536,0.143844,-0.345886
-0.044736,-0.056666,0.099750,-0.008769,-0.050074,0.054575,-0.388856,0.252563,0.690716,-1.000000,0.667266,-0.207281,0.034509,-0.308228
-0.044538,-0.052574,0.093576,-0.015331,-0.038249,0.038576,-0.308562,0.247980,0.460306,-0.762011,0.640892,-0.233515,-0.020897,-0.285186
-0.043201,-0.049536,0.089806,-0.021508,-0.027554,0.021752,-0.211915,0.207266,0.174139,-0.471808,0.561125,-0.305355,-0.089993,-0.235591
-0.041091,-0.047782,0.088731,-0.027089,-0.019127,0.006715,-0.113989,0.093632,-0.094331,-0.162089,0.409985,-0.402996,-0.079360,-0.145689
-0.038106,-0.046601,0.089420,-0.031667,-0.013950,-0.003975,-0.017094,-0.072212,-0.328388,0.157967,0.192649,-0.485549,0.024409,-0.061979
-0.034985,-0.045804,0.090946,-0.034491,-0.011663,-0.009536,0.077004,-0.241960,-0.470848,0.443764,0.010444,-0.527492,0.194749,-0.069316
-0.031479,-0.045009,0.092902,-0.035458,-0.011095,-0.011291,0.143361,-0.364963,-0.470305,0.631067,-0.114174,-0.523787,0.390888,-0.123856
-0.028252,-0.044264,0.094724,-0.035315,-0.010999,-0.011378,0.164721,-0.417715,-0.372945,0.685463,-0.181504,-0.473384,0.532814,-0.141539
-0.024804,-0.043434,0.096620,-0.034998,-0.010969,-0.010941,0.171309,-0.417687,-0.281906,0.674646,-0.160208,-0.407720,0.573061,-0.142220
-0.021675,-0.042649,0.098242,-0.034601,-0.010839,-0.010136,0.188032,-0.394188,-0.270626,0.680001,-0.075680,-0.390068,0.530779,-0.164606
-0.018381,-0.041766,0.099742,-0.033990,-0.010817,-0.008657,0.203222,-0.372321,-0.294075,0.705591,-0.011419,-0.419788,0.455878,-0.172930
-0.015504,-0.040894,0.100709,-0.032736,-0.011045,-0.006043,0.195623,-0.366361,-0.276900,0.707688,-0.027381,-0.436908,0.413792,-0.135321
-0.012684,-0.039857,0.101059,-0.030488,-0.011579,-0.002020,0.176506,-0.372093,-0.226157,0.686898,-0.080978,-0.430633,0.426682,-0.099165
-0.010470,-0.038798,0.100521,-0.027168,-0.012352,0.003367,0.160499,-0.368158,-0.185224,0.650808,-0.087425,-0.428184,0.461072,-0.113745
-0.008601,-0.037515,0.098755,-0.022900,-0.013465,0.010186,0.136102,-0.340307,-0.132811,0.582230,-0.045372,-0.417765,0.486236,-0.152145
-0.007411,-0.036168,0.095850,-0.018245,-0.015073,0.018161,0.087334,-0.288056,-0.046359,0.464086,0.001982,-0.383476,0.490756,-0.168872
-0.006675,-0.034520,0.091273,-0.013785,-0.016902,0.026397,0.021463,-0.216649,0.056916,0.310384,0.061056,-0.346999,0.469210,-0.171782
-0.006420,-0.032835,0.085863,-0.010012,-0.018634,0.033800,-0.046655,-0.130998,0.148592,0.144931,0.153427,-0.332023,0.426359,-0.190105
-0.006457,-0.030868,0.078998,-0.007356,-0.020019,0.039618,-0.111864,-0.035467,0.233633,-0.021694,0.263059,-0.325838,0.372744,-0.218042
-0.006641,-0.028968,0.072059,-0.005808,-0.020853,0.043375,-0.169942,0.058512,0.309512,-0.172461,0.357620,-0.306674,0.309943,-0.230737
-0.006875,-0.026886,0.064241,-0.005224,-0.020996,0.045112,-0.211674,0.143236,0.365811,-0.283794,0.438697,-0.279551,0.230395,-0.227210
-0.007057,-0.024998,0.056996,-0.005091,-0.020536,0.045288,-0.233799,0.207291,0.387011,-0.342585,0.503319,-0.270012,0.142868,-0.216225
-0.007195,-0.023033,0.049294,-0.005109,-0.019635,0.044420,-0.244904,0.246439,0.396800,-0.365872,0.536794,-0.280854,0.069159,-0.193150
-0.007278,-0.021314,0.042419,-0.004909,-0.018545,0.042961,-0.252717,0.259830,0.404199,-0.373839,0.530102,-0.297607,0.036171,-0.162437
-0.007357,-0.019563,0.035305,-0.004354,-0.017400,0.041046,-0.255944,0.258105,0.410683,-0.377957,0.514262,-0.311438,0.042456,-0.147856
-0.007460,-0.018043,0.029104,-0.003296,-0.016347,0.038758,-0.252098,0.251561,0.403070,-0.376689,0.513784,-0.319226,0.064058,-0.159279
-0.007649,-0.016490,0.022854,-0.001797,-0.015411,0.036056,-0.244547,0.249281,0.388073,-0.375260,0.526432,-0.314444,0.074950,-0.175658
-0.007929,-0.015138,0.017592,0.000103,-0.014570,0.032893,-0.238984,0.247098,0.365020,-0.376204,0.529140,-0.303561,0.069971,-0.173669
-0.008376,-0.013751,0.012518,0.002267,-0.013837,0.029279,-0.236379,0.239751,0.333859,-0.380125,0.518924,-0.302789,0.053233,-0.155245
-0.008934,-0.012526,0.008454,0.004563,-0.013282,0.025393,-0.233438,0.220384,0.283368,-0.381652,0.498809,-0.320134,0.042700,-0.139282
-0.009693,-0.011248,0.004751,0.006748,-0.012901,0.021366,-0.229147,0.189354,0.222289,-0.384312,0.470292,-0.344484,0.053024,-0.134073
-0.010513,-0.010111,0.001999,0.008609,-0.012526,0.017201,-0.224114,0.150399,0.159631,-0.388580,0.431645,-0.360132,0.084546,-0.135530
-0.011492,-0.008937,-0.000259,0.009971,-0.012079,0.013017,-0.217004,0.110427,0.101022,-0.392561,0.394959,-0.363168,0.121649,-0.142907
-0.012439,-0.007917,-0.001695,0.010803,-0.011531,0.008980,-0.204694,0.071227,0.035717,-0.385140,0.366492,-0.364063,0.151605,-0.155808
-0.013468,-0.006889,-0.002607,0.011059,-0.010908,0.005266,-0.188933,0.033392,-0.032206,-0.366960,0.340948,-0.368886,0.171390,-0.165791
-0.014386,-0.006011,-0.002932,0.010843,-0.010283,0.002033,-0.174207,-0.005493,-0.091482,-0.342467,0.304601,-0.375637,0.191862,-0.165326
-0.015318,-0.005133,-0.002820,0.010269,-0.009714,-0.000651,-0.160948,-0.045444,-0.137249,-0.315615,0.260849,-0.382919,0.219531,-0.161390
-0.016106,-0.004383,-0.002367,0.009460,-0.009177,-0.002827,-0.146323,-0.083443,-0.173446,-0.285624,0.224589,-0.390519,0.254849,-0.167770
-0.016876,-0.003634,-0.001574,0.008584,-0.008680,-0.004577,-0.130179,-0.116881,-0.201657,-0.255340,0.199869,-0.394401,0.291936,-0.183073
-0.017514,-0.002996,-0.000616,0.007715,-0.008183,-0.005981,-0.114559,-0.143219,-0.221288,-0.225762,0.181027,-0.389962,0.321797,-0.194528
-0.018135,-0.002360,0.000618,0.006962,-0.007746,-0.007127,-0.100940,-0.163801,-0.236507,-0.198997,0.165241,-0.382308,0.340028,-0.198166
-0.018653,-0.001817,0.001902,0.006286,-0.007334,-0.008016,-0.089249,-0.179944,-0.250366,-0.173341,0.153674,-0.381465,0.348255,-0.197749
-0.019166,-0.001268,0.003411,0.005732,-0.007004,-0.008712,-0.079704,-0.195502,-0.264538,-0.150849,0.142058,-0.387595,0.353804,-0.196364
-0.019602,-0.000791,0.004884,0.005258,-0.006733,-0.009203,-0.072373,-0.209984,-0.274840,-0.132560,0.127785,-0.392499,0.363275,-0.194929
-0.020041,-0.000297,0.006536,0.004877,-0.006546,-0.009539,-0.066452,-0.224372,-0.283339,-0.119048,0.112104,-0.393418,0.377959,-0.195966
-0.020421,0.000144,0.008087,0.004541,-0.006408,-0.009685,-0.061058,-0.235523,-0.290703,-0.107988,0.102355,-0.392732,0.390596,-0.199791
-0.020809,0.000613,0.009765,0.004256,-0.006342,-0.009677,-0.056392,-0.244348,-0.298431,-0.099227,0.097141,-0.391571,0.399122,-0.204352
-0.021147,0.001046,0.011285,0.003996,-0.006339,-0.009505,-0.053750,-0.250193,-0.302329,-0.093426,0.092692,-0.389995,0.403586,-0.205530
-0.021493,0.001523,0.012873,0.003751,-0.006397,-0.009165,-0.052880,-0.255302,-0.303850,-0.090454,0.086831,-0.389068,0.406700,-0.204411
-0.021794,0.001975,0.014257,0.003497,-0.006497,-0.008645,-0.052612,-0.259052,-0.303274,-0.089159,0.083426,-0.389583,0.409412,-0.204744
-0.022097,0.002486,0.015640,0.003245,-0.006656,-0.007981,-0.052804,-0.262014,-0.300930,-0.089944,0.082049,-0.390067,0.413669,-0.207739
-0.022356,0.002981,0.016786,0.002977,-0.006844,-0.007165,-0.054170,-0.262447,-0.293678,-0.093657,0.082353,-0.388122,0.417798,-0.210677
-0.022612,0.003547,0.017864,0.002700,-0.007050,-0.006219,-0.056289,-0.261264,-0.283754,-0.099566,0.084413,-0.384089,0.420179,-0.213085
-0.022823,0.004099,0.018693,0.002405,-0.007260,-0.005173,-0.058691,-0.257287,-0.271847,-0.106383,0.090815,-0.380508,0.418956,-0.215786
-0.023024,0.004729,0.019399,0.002105,-0.007493,-0.004079,-0.061696,-0.251774,-0.258127,-0.114419,0.099089,-0.378189,0.415795,-0.218380
-0.023181,0.005341,0.019870,0.001785,-0.007686,-0.002941,-0.065532,-0.244613,-0.241475,-0.123653,0.107562,-0.375636,0.411053,-0.219274
-0.023319,0.006034,0.020185,0.001458,-0.007862,-0.001814,-0.069385,-0.237300,-0.223767,-0.133502,0.116327,-0.372301,0.405955,-0.220017
-0.023415,0.006697,0.020301,0.001126,-0.008002,-0.000725,-0.072989,-0.228494,-0.205883,-0.142953,0.127215,-0.369561,0.400094,-0.221718
-0.023486,0.007437,0.020249,0.000791,-0.008090,0.000296,-0.076446,-0.219331,-0.187603,-0.152377,0.138786,-0.367254,0.393667,-0.223509
-0.023520,0.008135,0.020053,0.000461,-0.008138,0.001227,-0.079829,-0.209633,-0.169413,-0.161046,0.150109,-0.364242,0.385602,-0.223673
-0.023524,0.008901,0.019698,0.000136,-0.008127,0.002049,-0.082712,-0.200094,-0.152274,-0.168788,0.161217,-0.361121,0.377071,-0.223484
-0.023496,0.009613,0.019256,-0.000178,-0.008083,0.002762,-0.085150,-0.190945,-0.136614,-0.175024,0.171920,-0.359683,0.368333,-0.223081
-0.023435,0.010383,0.018674,-0.000479,-0.007995,0.003358,-0.087199,-0.182509,-0.122006,-0.180136,0.181682,-0.358803,0.359610,-0.222130
