x,y,phi,u,v,r,n1,n2,n3,n4,alpha1,alpha2,alpha3,alpha4
0.413033,-0.368399,0.377378,0.000001,-0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.413019,-0.368408,0.377371,0.000092,0.000005,0.000052,0.187935,0.275532,-1.000000,1.000000,0.576816,-1.000000,-0.053553,0.171916
0.412834,-0.368532,0.377278,0.000851,0.000040,0.000537,0.651175,0.273836,-1.000000,1.000000,0.655444,-0.473718,-1.000000,-1.000000
0.412197,-0.368984,0.376944,0.002974,0.000219,0.002087,-0.162250,0.254330,-0.909011,1.000000,1.000000,-1.000000,-0.459953,0.834458
0.410624,-0.370143,0.376103,0.006554,0.000781,0.004854,0.246481,0.114330,-1.000000,1.000000,-0.215104,1.000000,0.232349,-0.998151
0.407530,-0.372519,0.374276,0.011460,0.000297,0.011420,0.510216,0.277724,-1.000000,1.000000,-0.519999,-1.000000,0.737248,-1.000000
0.401317,-0.377280,0.370362,0.017597,-0.002432,0.022575,0.057528,0.532634,-0.753562,1.000000,-1.000000,-0.956461,-0.677558,-0.346665
0.392093,-0.384114,0.364376,0.024508,-0.007696,0.037432,0.790874,0.254755,-1.000000,1.000000,0.530288,-1.000000,0.252551,-1.000000
0.377305,-0.394527,0.354677,0.031922,-0.014880,0.055955,0.768398,0.116598,-0.797503,1.000000,-1.000000,-1.000000,-1.000000,0.112127
0.359396,-0.406147,0.343221,0.041276,-0.020231,0.071563,0.280762,0.803643,-0.676435,1.000000,-0.860817,-0.097383,-0.991921,0.356035
0.336044,-0.419646,0.328875,0.051536,-0.025073,0.082800,-0.148691,0.755408,-1.000000,1.000000,-0.056035,0.805309,1.000000,-0.690452
0.310353,-0.432589,0.313522,0.060319,-0.033003,0.095967,0.185819,0.280996,-0.421373,1.000000,-0.393786,0.364774,0.357419,-1.000000
0.277260,-0.446583,0.294120,0.067754,-0.045141,0.111937,0.095855,1.000000,-0.301095,0.498732,1.000000,-1.000000,0.165809,-0.265193
0.242120,-0.458108,0.273953,0.075081,-0.061080,0.125990,-0.618817,1.000000,0.192282,0.366410,0.143823,-0.785063,1.000000,-1.000000
0.200507,-0.467357,0.250676,0.082368,-0.079300,0.134286,-1.000000,1.000000,-0.029819,0.252764,-0.257253,0.527893,-0.672906,1.000000
0.160514,-0.471989,0.228994,0.091899,-0.094435,0.135531,0.109798,1.000000,0.587288,-0.187145,0.658921,0.711538,0.498286,-0.310438
0.117608,-0.472381,0.206494,0.100738,-0.107291,0.129775,-0.536580,1.000000,-0.234529,-0.077609,0.020025,-0.652109,0.223890,0.544881
