x,y,phi,u,v,r,n1,n2,n3,n4,alpha1,alpha2,alpha3,alpha4
-0.016875,0.052683,0.008680,-0.004491,-0.025063,0.018786,-0.062747,-0.267633,0.416867,-0.530576,0.377686,-0.077162,0.464010,-0.438693
-0.015712,0.054700,0.005639,-0.007231,-0.020411,0.017535,-0.092388,-0.146286,0.461808,-0.523209,0.468589,-0.181065,0.277841,-0.373991
-0.014337,0.056015,0.003081,-0.011138,-0.014191,0.016008,-0.089136,-0.161610,0.480351,-0.450311,0.438716,-0.289936,0.082160,-0.230476
-0.012756,0.057262,0.000935,-0.013224,-0.012657,0.012383,-0.057009,-0.152661,0.384934,-0.342220,0.414144,-0.293992,0.094783,-0.219533
-0.011431,0.058626,-0.000065,-0.013631,-0.015757,0.006244,-0.032822,-0.157101,0.345666,-0.269887,0.346916,-0.350874,0.294200,-0.290268
-0.010129,0.059704,-0.000457,-0.013519,-0.011694,0.002266,-0.013086,-0.207253,0.361515,-0.186497,0.306978,-0.354849,0.287391,-0.252809
-0.009142,0.060493,-0.000054,-0.012638,-0.009541,-0.002517,0.051340,-0.314935,0.300142,-0.082304,0.335211,-0.241883,0.203599,-0.239816
-0.008253,0.061151,0.000941,-0.011841,-0.007546,-0.005739,0.082448,-0.339637,0.194882,-0.020163,0.303900,-0.283354,0.255556,-0.260611
-0.007671,0.062084,0.002580,-0.010680,-0.011632,-0.010248,0.076914,-0.380380,0.182965,-0.007974,0.177072,-0.430395,0.330039,-0.214662
-0.007236,0.063615,0.004808,-0.009561,-0.017433,-0.012855,0.081315,-0.413969,0.146079,0.020307,0.126878,-0.396008,0.343677,-0.192842
-0.006997,0.065227,0.007146,-0.008399,-0.019831,-0.014612,0.136436,-0.530195,0.072585,0.048157,0.116967,-0.294572,0.421417,-0.273059
-0.006680,0.066161,0.009211,-0.008137,-0.010787,-0.011922,0.146011,-0.631733,0.116463,0.038578,0.082210,-0.320055,0.446120,-0.270599
